description,requirements,benefits,fraudulent
"“We believe our best investment is in our people.” – Healthy Spot Core Value #8As employees at Healthy Spot we feel pride in the work that we do.  We believe in inspiring healthy pet lifestyles by creating authentic experiences with customers and fostering a sense of community. At Healthy Spot, employees are team members, caregivers to four-legged friends, public educators, and role models.  Our pride in our work is what allows us to exceptionally serve dogs, customers, the Healthy Spot team, and our communities.We are looking for a passionate individual to assume the role of the Recruiting Assistant!   This unique individual will be a brand ambassador to Healthy Spot.  As such, he/she will have a gregarious, extroverted personality who has the innate ability to easily connect with others.  It is imperative that the individual fully believes in Healthy Spot’s vision and have the natural ability to communicate the vision to candidates and new hires.Not only will this individual have a wonderful, enthusiastic personality, he/she must be a master of exceptionally executing administrative duties under tight deadlines.  This individual must be computer savvy, organized, have the ability to multi-task in a fast environment, and process new information quickly.This individual will work closely with the Head of Recruiting in sourcing resumes, setting up interviews, and utilizing our recruiting tools in analyzing and organizing data.  This individual will also assist in attending various career fairs and be the brand ambassador representing Healthy Spot to candidates.  As this unique individual gains more experience, he or she will assist in conducting interviews and move up to become a Junior Recruiter or Recruiter!   The Ideal Candidate…MUST LOVE DOGS!MUST LOVE PEOPLE!Must be an extrovert who has an innate quality of easily connecting with peopleMust have a highly contagious energy around peopleMust have extensive administrative experience and exceptionally execute administrative tasksMust have the ability to multi-task in a fast environmentMust believe in high standards - does not accept mediocrityMust have excellent oral communication skills – must speak professionally over the phone and in person by being the brand ambassador of Healthy SpotMust have excellent organization and project management skills and have the ability to quickly react to staffing needs of Healthy SpotMust love writing – the individual will have strong writing and editing skillsMust be meticulous and detailed-oriented to a faultMust adapt to change quickly and enthusiastically and easily handle complex mattersMust have a progressive mindset and embrace innovation Must be able to lift up to 30 lbsMust have proficiency with Microsoft Office and familiarity with applicant tracking systems, The Resumator, preferredMust follow up with delegated projects or tasks in a timely matterMust have a high level of dedication to learnMust have the ability to maintain a high level of confidentialityMust be driven and committedMust be flexible, punctual and reliableMust be capable of working independently and in a team environmentMust be capable of handling a fast pace, high stress environmentMust be a self-starter and quick learnerMust have an operating vehicle and a valid California Driver LicenseMust travel to all Healthy Spot store locations  The Recruiting Assistant Will…-Represent Healthy Spot at all times as its brand ambassador-Positively impact Healthy Spot through his or her work ethic, passion, and positive energy-Exceptionally execute administrative duties, including but not limited to, data entry, organizing and maintaining files, and utilizing Healthy Spot’s recruiting tools in analyzing and organizing data-Assist in developing and executing full life cycle recruiting plans including resume review, interviewing, pay negotiations, new hire paperwork, and assessments-Assist in ensuring that hiring practices (both internal and external) meet legal guidelines relating to non-discrimination and state and federal compliance standards-Assist in efficiently and effectively filling open positions-Work closely with managers to understand specific hiring needs and execute recruiting strategies to meet them-Help assist in writing and placing advertisements-Post openings on various job boards and in other appropriate venues-Perform resume searches and review applicants to evaluate if they meet the position requirements-Assist in conducting telephone interviews, schedule interviews, and check references-Assist in writing and forwarding rejection letters-Manage applicant tracking and maintain recruiting metrics-Assist in preparing and sending new employee orientation packages-Follow up with the related clerical aspects of employment, such as completing of employment and company required forms, notifying the department of employee's starting date, and ensuring new hire is scheduled to begin employment-Perform other special projects as assigned-Aid public relations in establishing a recognizable “employer of choice” reputation for the company, both internally and externally-Become an expert at analyzing the Predictive Index Survey-Attend career fairs and represent Healthy Spot-Perform other duties as assigned Please respond with a resume. Please also articulate the following: 1)  Why you would be an immediate value adding team member2)  Why you are the best candidate for the Recruiting Assistant position3)  What is your favorite breedResumes without cover letters will not be considered.  It's your opportunity to allow us to get to know your unique personality!Healthy Spot Job Perks!!For Full Time Employees-Four different types of medical plans, and we also offer a dental and vision plan!-If your dog is under 30 pounds, bring them to work and have them stay in dog daycare!* All dogs must pass behavior temperament test and having UTD vaccination records. **Dependent on availability of space in Dog Daycare. This perk is available after the 90 day trial period** - 30% off all Treats/Supplies!!-15% of all Food!!-15%-30% Grooming discount - dependent upon long hair/wired hair and size of dog.Part Time Employees-If your dog is under 30 pounds, bring them to work and have them stay in dog daycare!* All dogs must pass behavior temperament test and having UTD vaccination records. **Dependent on availability of space in Dog Daycare. This perk is available after the 180 day trial period** - 30% off all Treats/Supplies!!-15% of all Food!!-15%-30% Grooming discount - dependent upon long hair/wired hair and size of dog. Company DescriptionWe are a fast growing, upscale, upbeat, healthy and earth friendly pet products and services store. As our company grows, we are always looking to add new members to our team.We look for team members to grow with our company and are looking for individuals to stay with us long term.  In that sense, our recruiting efforts are stringent to find the unique individual. We realize our success is based on our team members.  Without the individual personalities and quirks that shine in and out of the Healthy Spot atmosphere, Healthy Spot would not exist.  As such, we love to promote from within and spend time and resources to foster each team member’s growth.  We are proud to see team members grow from entry level to manager positions and see them gain skills and confidence both professionally and personally!Our Los Angeles stores make customers feel welcomed and at ease!  We have expanded into our first store in Costa Mesa in January 2014, and have opened our first Long Beach store location in May 2014!  We are committed to unleashing each family's passion for their dogs by offering the finest products and services, quality information and highest care while breeding social awareness of humane compassion and canine education for the community -- all for your dog's mind, body, and bowl.#URL_6404f38988d65ee3f3cf01b27a9566452cbe5952d18a4494a53deef8235d5b0c# ",,,0
"IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required. "," QualificationsKnowledge, Skills &amp; Abilities: A high school diploma or GED is required. Must have a valid driver’s license. Ability to read, write, and communicate effectively in English.  Good math skills. Four years of experience as an I&amp;C Technician and/or Electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 KV to provide the following:Demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation.Demonstrated knowledge of safe work practices associated with a power plant environment.Demonstrated ability to calibrate I&amp;C systems and equipment, including analytic equipment.Demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (CEM) systems.Demonstrated ability to work with others in a team environment. ","BENEFITSWhat is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsPlease Apply for Immediate Consideration. Qualified candidates contact: Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#    ",1
"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0
"We are currently seeking a Customer Service Team Lead. The right candidate will be an integral part of our talented team, supporting our continued growth. This position will be located in our Norwalk, CT location.Responsibilities include, but are not limited to:Coordinate work for Customer Service Associates.Process mail, deliver mail, scan in/out packages and deliver mail/packages.Run mail meter and inserter equipmentHandle time-off requests and day-to-day processes of the teamHelp resolve employee and customer concerns/issuesAdministrative services/processing large volume reports using excel and assisting manager with quarterly business reviewsLift large bundles of mail and make mail deliveriesHandle time-sensitive materialPerform duties and special requests as assigned by managementBalance workload; provide guidance and direction to team; serve as focal point for communication with customer and company personnelEnsure operating and quality standards are met based on service objectivesMaintain accuracy of required reports, logs and measurementsEnsure the highest levels of customer careEnsure adherence to business guidelines, safety &amp; security proceduresResponsible for all aspects of equipment; make appropriate equipment recommendationsProvide constructive feedback and recognition to teamSupport financial results by minimizing site waste and rework","Required Qualifications:Experience coordinating/deploying work to employees requiredMinimum of 1-year customer service related experience requiredAbility to resolve employee and customer concerns/issuesAbility to communicate both verbally and written with customers and company personnelHigh school diploma or equivalent (GED) requiredAbility to effectively work individually or in a team environmentAbility to handle multiple projects simultaneouslyStrong organizational and administrative skills requiredAbility to meet employer's attendance policyComputer proficiency in email environments, MS Word/ExcelHeavy LiftingAbility to adhere and administer companies policies and proceduresStanding for long periods of timeSignificant walkingWillingness to work overtime if neededWillingness to submit to a pre-employment drug screen and criminal background checkPreferred Qualification:Post office, Mail or previous Shipping/Receiving experience",,0
If you have experience in financing for auto sales and a great attitude you can work in our Hazelcrest office.  From $500 top $1000 a week by contract.,prior car sales expprior car loan financing exp,profit sharingcar allowancecompany car,1
"The Service Delivery Associate will be based in New York, NY. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Answering and directing calls in a timely and professional mannerLift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesPerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsCreate files and ship filesProvide backfill when neededEnter information daily into spreadsheetsIdentify charges and match them to billingSort and deliver mail, small packages","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Experience running mail posting equipment a plusExcellent communication skills both verbal and writtenLifting up to 55 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy ",,0
"Offshoot Inc. is looking for candidates with a solid understanding of Quickbooks and Quickbooks Online. The part time position will require approximately 24 hours per week, split in to 3 eight hour shifts or, 4 six hour shifts.Offshoot Inc. has been in operation for 10 years in the web-development industry. We bill clients for both contract work and software as a service (SaaS) on a recurring basis.Responsibilities will include:Accounts payable/receivableSales InvoicingDetailed job cost trackingBanking - Bank reconciliations and make physical depositsAll required government remittances : HST, EHT, WSIBBi-weekly Payroll Monthly reportingYearend file preparation for external accountants","Eligible candidates must:Have 3 years (minimum) experience with Quickbooks and Quickbooks OnlineHave a strong working knowledge of Mac OS and Microsoft OfficeBe able to work 24 hours per week during regular business hoursBe able to make bank deposits, a short walk from our office",,0
"SmartBrief seeks freelance writers for morning shiftsCan you condense a complex article in two sentences? Can you meet multiple daily deadlines? SmartBrief is seeking freelance writers to help create daily e-mail newsletters across multiple industries, including media, health care, education, energy and food &amp; beverage. If you're available overnight or earlier than 5 a.m., we view that as a bonus and may have even more opportunities for you. These positions are for about 2-4 hours of freelance writing each weekday. What we're looking for: someone who thrives in a fast-paced, deadline-intensive, newsroom-style work environment. The ideal candidate has worked as a writer or editor for a newspaper, trade journal or industry publication with multiple daily deadlines. Our briefs summarize the top stories of the day for dozens of industry associations, and our freelancers work with our editors to shape that content. You will not be reporting or writing long-form articles in this position! Applicants will be asked to complete a timed writing test. This position is a telecommuting position. Job Duties:·       Search the Web to locate news articles and other information sources of interest to senior executives. ·       Select and summarize online articles, studies and other information for use in e-mail publications. ·       Use online publishing tools to create e-mail newsletters and other content.",Required Skills &amp; Experience:·       Proven writing skills. (A timed test is given) ·       Ability to write quickly and accurately on deadline. ·       Sophisticated understanding of how to find news and information on the Web. ·       Knowledge of Associated Press style. ·       Facility for using online publishing tools. ·       Strong interpersonal and communications skills. ·       Proven record of sharing responsibilities and managing multiple projects/deadlines simultaneously. ,,0
"A Newly established company seeks outgoing, friendly people person with a can do attitude for a Admin Assistant/ Receptionist position yet to be occupiedJob duties include answering phones, setting appts and working with the owner to keep the office running smooth. Processing of tax returns, keeping database current and scanning of all tax documents.","Must have good knowledge of Outlook, Microsoft Word and Excel, and excellent overall computer skills. Any background with Quickbooks, Ultratax or working in a CPA office would be helpful. Must be extremely organized. Good sense of humor is key! ",,1
"(We have more than 1500+ Job openings in our website and some of them are relevant to this job. Feel free to search it in the website and apply directly. Just Click the “Apply Now” and you will redirect to our main website where you can search for the other jobs.)Job Title: Maintenance Technician – PLC maintenance experience -A Maintenance Technician is required having 5+ years industrial maintenance experience in a manufacturing environment is required.Job Requirements &amp; Qualifications Required:5+ years industrial maintenance experience in a manufacturing environment is requiredPLC skills are not necessary, but would be a plusPlastics and/or extrusion experience not necessary, but also would be a plusAbility to calculate figures and amounts such as proportions, percentages, area, circumference and volumeAbility to apply concepts of basic algebra and geometryJob Responsibilities:Maintain facility and equipment. Perform repairs, modifications, installations, etc. of complex electrical, hydraulic and pneumatic systems. Visit - #URL_ec64af2b4fe2ca316e828f93b0cd098c22f8beba98dcac09d4dd7384b221a5e8#-#URL_2954b76adf23051d4bc35fc729f5a18c5de715ed82dfaee24b3aabbf3874ca57# ",,,0
"The Customer Service Associate will be based in Warrenville, IL. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Complete copy and lamination projectsLift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesPerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsCreate files and ship filesProvide backfill when neededEnter information daily into spreadsheetsIdentify charges and match them to billingSort and deliver mail, small packages","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Experience running mail posting equipment a plusExcellent communication skills both verbal and writtenLifting up to 55 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy",,0
"The Customer Service Associate will be based in Washington, DC. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Lift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesPerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsCreate files and ship filesProvide backfill when neededEnter information daily into spreadsheetsIdentify charges and match them to billingSort and deliver mail, small packages","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Experience running mail posting equipment a plusExcellent communication skills both verbal and writtenLifting up to 55 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy",,0
"Vayu is seeking an Aerospace / Mechanical Engineer with an entrepreneurial skill set in Brazil.  This position requires an action and results oriented individual who can effectively achieve demanding development and production goals.Serve as a mid-level member of a design team for design of airframe structural elements. Primary product lines for design activities will be unmanned aerial vehicles, modification of existing aircraft structures, and design-to-build activities for commercial aircraft. Things to Consider:1. We are hiring for entrepreneurial positions, at an entrepreneurial company. This means you’ll need to be resourceful and creative, while also following the processes that will allow us to scale quickly.2. We hire for culture and greatness. We are looking for well-rounded people who are willing to commit wholeheartedly to our cause for the next couple of years and grow alongside the company.3. This is a massive opportunity for the right person. The opportunity for upward mobility at Vayu is tremendous, but only if you’re willing to put forth the effort.Responsibilities:Responsible for engineering activities for assigned projects for development and production of aerospace composite structure and systems fabrication and assemblies. Maintains documentation for technical development process to support design decisions and to resolve issues.Preparation of design files in CATIA V5, XFLR5, and other modeling software.","Qualifications:Bachelors with 1-2 years experience or Masters in Mechanical or Aerospace Engineering from an accredited university.Experience with the composite part detail process, including composites stacking sequence, lamination theory, bonded assemblies, manufacturing assembly and fabrication processes, post-cure machining operations.","Selected candidate will be offered an excellent base salary commensurate with experience, along with competitive equity stake.",0
"The Service Delivery Manager 1 will be located in Englewood, CO.  The right candidate will be an integral part of our talented team, supporting our continued growth. The Service Delivery Manager is responsible for all aspects of operating day-to-day services for our client site. Responsibilities:Coordinate workflow within the team, including prioritizing jobs and delegating duties to associates.Administrative - Performs administrative tasks, provides volumes/billing inputs to one-up Manager, and other assigned duties in a timely manner. Ensures adherence to company policies and guidelines, safety &amp; security procedures.Quality/Workflow compliance - demonstrate commitment and enthusiasm and utilization of quality tools to drive SLA attainment and exceed client expectations.  Ensure service levels are clearly communicated, understood, and performed by on-site staff.Coaching &amp; counseling - create a positive atmosphere of professionalism and support.  Provide honest and timely verbal and written feedback to employees; address performance issues with directness and sensitivity with guidance from manager and human resources.Personnel Management - Performs all functions in HR Access to include time and payroll authorization, training approval and vacation approval.  Duties also include hiring and termination authorization, annual reviews and merit increase actions, with approval from HR and/or one-up manager. Utilizes technology to perform tasks efficiently and demonstrates the ability to communicate effectively both orally and written.Position may require Site Supervisor to perform site activities due to unanticipated volume increases, staffing coverage issues and/or special project needs requested by clients. Understands basic information on core Novitex service/solutions offerings to work effectively with Manager - Client Services in generating leads for site growth and competitive take-aways. ","Required Qualifications: Proven leadership experience required, 4 years experienceMinimum of 3 years customer service experienceMinimum of 1 year experience in a law firm environmentEffective customer relationship building skills, and uses creative solutions to exceed customer expectationsDemonstrates good judgment under pressure, and works well in a multi-taskingEffective written and verbal communication skills; proven analytical skillsSolid, basic mathematical skills requiredExcellent planning, prioritization and organizational skillsProven experience in high volume/fast paced environmentComputer proficiency in email environments, MS Word/Excel or similar programsHigh School Diploma requiredRelevant industry specific certificates a plus (MQC, CMDSM, etc.)Lifting up to a maximum of 55lbs. or the maximum allowed by current State law with or without accommodationsAbility to stand, sit and/or walk for long periods of time with or without accommodationsMust have a valid driver's license and a good driving recordPreferred Qualifications:Bachelor's degree preferred  ",,0
"We’re proud of what we do at Cohaesus. We deliver challenging projects for some of the biggest agencies and brands in the world. Our colleagues stretch us daily. We have a great amount of autonomy; we are trusted to work with our clients directly – no “sorry, I’m not technical” project managers; everyone is tasked to constantly learn. It’s good, hard work.We’re a diverse bunch, coming from various backgrounds – from self-taught to academia. But we all share a single focus to deliver the best possible outcomes for our clients. We don’t tolerate rockstars or self-absorbed individuals. One of our core values is respect, and we all demonstrate that daily.We offer a straightforward career path. We’ll mentor, teach, train, and guide you to become a Technical Director. We succeed by developing our people; and we put an enormous amount of time and energy into doing just that. We believe nothing should get in the way of you doing your best possible work, and we’ve structured Cohaesus around this principle. We keep our meetings lightweight. Our development processes are dead simple but bang up-to-date. We aspire to have roles entirely devoted to “developer happiness”.About youWe’re looking for a C# Developer who wants to progress. We’ll provide a nurturing environment to harness your potential and let you build your career a pace that suits you.You need to be talented – with real passion and natural aptitude. You should be eager to get experience on a vast range of platforms and projects. You probably feel frustrated with your current role. You sweat the details. You’re passionate about impeccable semantic code. You’d to love work with world-class agencies who appreciate it when you get every detail just right.You’ll split your time between our office (just up the road from Silicon Roundabout in London) and working on-site in some of the world’s best creative agencies.If you’re smart and personable, you put the team first, and you want to build a career for yourself, then we’d love to have the chance to talk with you.",,,0
Design and execute strategies that will grow revenues in both the short and long term. Leverage existing relationships to build new partnerships.,,Full Benefits,0
